n     vDP      tDP          vGreedy  tGreedy      %       
------------------------------------------------------
100   1100     0,000998     1000     0,000998     90,91
200   2200     0,005001     2000     0,001998     90,91
300   3300     0,013000     3000     0,008004     90,91
400   4400     0,025998     4000     0,013999     90,91
500   5500     0,036001     5000     0,017000     90,91
600   6600     0,081999     6000     0,030000     90,91
700   7700     0,088999     7000     0,038004     90,91
800   8800     0,101999     8000     0,049998     90,91
900   9900     0,243001     9000     0,116002     90,91
1000  11000    0,214999     10000    0,100003     90,91
1100  12100    0,229999     11000    0,102999     90,91
1200  13200    0,229000     12000    0,132002     90,91
1300  14300    0,323000     13000    0,118997     90,91
1400  15400    0,266002     14000    0,129996     90,91
1500  16500    0,390003     15000    0,149999     90,91
1600  17600    0,352004     16000    0,160992     90,91
1700  18700    0,422001     17000    0,178998     90,91
1800  19800    0,448994     18000    0,222001     90,91
1900  20900    0,504997     19000    0,227003     90,91
2000  22000    0,571003     20000    0,254995     90,91
